Polynomial_Size,Padded_Size,Sparsity,Dist_To_Next_Pow2,Is_Power_2,Is_Power_4,Radix_2_Time_ms,Modified_Radix_4_Time_ms,Radix_Split_Time_ms,Best_Algorithm
11,16,0.111111,5,0,0,0.006,0.004,0.004,Modified-Radix-4
11,16,0.222222,5,0,0,0.005,0.004,0.004,Modified-Radix-4
11,16,0.333333,5,0,0,0.005,0.004,0.004,Modified-Radix-4
11,16,0.444444,5,0,0,0.005,0.004,0.004,Modified-Radix-4
11,16,0.555556,5,0,0,0.006,0.004,0.004,Modified-Radix-4
11,16,0.666667,5,0,0,0.005,0.004,0.004,Modified-Radix-4
11,16,0.777778,5,0,0,0.005,0.004,0.004,Modified-Radix-4
11,16,0.888889,5,0,0,0.005,0.004,0.004,Modified-Radix-4
11,16,1,5,0,0,0.005,0.004,0.004,Modified-Radix-4
12,16,0,4,0,0,0.005,0.004,0.004,Modified-Radix-4
12,16,0.111111,4,0,0,0.005,0.004,0.004,Modified-Radix-4
12,16,0.222222,4,0,0,0.005,0.004,0.004,Modified-Radix-4
12,16,0.333333,4,0,0,0.005,0.004,0.004,Modified-Radix-4
12,16,0.444444,4,0,0,0.019,0.006,0.007,Modified-Radix-4
12,16,0.555556,4,0,0,0.005,0.004,0.004,Modified-Radix-4
12,16,0.666667,4,0,0,0.005,0.004,0.004,Modified-Radix-4
12,16,0.777778,4,0,0,0.005,0.004,0.004,Modified-Radix-4
12,16,0.888889,4,0,0,0.005,0.004,0.004,Modified-Radix-4
12,16,1,4,0,0,0.005,0.004,0.004,Modified-Radix-4
13,16,0,3,0,0,0.005,0.004,0.004,Modified-Radix-4
13,16,0.111111,3,0,0,0.005,0.004,0.004,Modified-Radix-4
13,16,0.222222,3,0,0,0.005,0.004,0.004,Modified-Radix-4
13,16,0.333333,3,0,0,0.005,0.004,0.004,Modified-Radix-4
13,16,0.444444,3,0,0,0.005,0.004,0.004,Modified-Radix-4
13,16,0.555556,3,0,0,0.005,0.004,0.004,Modified-Radix-4
13,16,0.666667,3,0,0,0.006,0.004,0.004,Modified-Radix-4
13,16,0.777778,3,0,0,0.006,0.004,0.004,Modified-Radix-4
13,16,0.888889,3,0,0,0.005,0.004,0.004,Modified-Radix-4
13,16,1,3,0,0,0.006,0.006,0.006,Radix-2
14,16,0,2,0,0,0.008,0.007,0.006,Radix-Split
14,16,0.111111,2,0,0,0.008,0.006,0.008,Modified-Radix-4
14,16,0.222222,2,0,0,0.005,0.004,0.004,Modified-Radix-4
14,16,0.333333,2,0,0,0.005,0.004,0.004,Modified-Radix-4
14,16,0.444444,2,0,0,0.005,0.004,0.004,Modified-Radix-4
14,16,0.555556,2,0,0,0.005,0.004,0.004,Modified-Radix-4
14,16,0.666667,2,0,0,0.005,0.004,0.004,Modified-Radix-4
14,16,0.777778,2,0,0,0.005,0.004,0.004,Modified-Radix-4
14,16,0.888889,2,0,0,0.005,0.01,0.004,Radix-Split
14,16,1,2,0,0,0.006,0.004,0.004,Modified-Radix-4
15,16,0,1,0,0,0.005,0.004,0.004,Modified-Radix-4
15,16,0.111111,1,0,0,0.005,0.004,0.004,Modified-Radix-4
15,16,0.222222,1,0,0,0.006,0.004,0.004,Modified-Radix-4
15,16,0.333333,1,0,0,0.005,0.004,0.004,Modified-Radix-4
15,16,0.444444,1,0,0,0.005,0.004,0.004,Modified-Radix-4
15,16,0.555556,1,0,0,0.005,0.004,0.004,Modified-Radix-4
15,16,0.666667,1,0,0,0.005,0.004,0.004,Modified-Radix-4
15,16,0.777778,1,0,0,0.006,0.004,0.004,Modified-Radix-4
15,16,0.888889,1,0,0,0.005,0.004,0.004,Modified-Radix-4
15,16,1,1,0,0,0.005,0.004,0.004,Modified-Radix-4
16,16,0,0,1,1,0.006,0.004,0.004,Modified-Radix-4
16,16,0.111111,0,1,1,0.005,0.004,0.004,Modified-Radix-4
16,16,0.222222,0,1,1,0.005,0.004,0.004,Modified-Radix-4
16,16,0.333333,0,1,1,0.006,0.004,0.004,Modified-Radix-4
16,16,0.444444,0,1,1,0.005,0.004,0.004,Modified-Radix-4
16,16,0.555556,0,1,1,0.006,0.004,0.004,Modified-Radix-4
16,16,0.666667,0,1,1,0.005,0.004,0.004,Modified-Radix-4
16,16,0.777778,0,1,1,0.005,0.004,0.004,Modified-Radix-4
16,16,0.888889,0,1,1,0.005,0.004,0.004,Modified-Radix-4
16,16,1,0,1,1,0.005,0.004,0.004,Modified-Radix-4
17,32,0,15,0,0,0.013,0.007,0.01,Modified-Radix-4
17,32,0.111111,15,0,0,0.012,0.007,0.01,Modified-Radix-4
17,32,0.222222,15,0,0,0.012,0.007,0.015,Modified-Radix-4
17,32,0.333333,15,0,0,0.012,0.007,0.01,Modified-Radix-4
17,32,0.444444,15,0,0,0.014,0.007,0.01,Modified-Radix-4
17,32,0.555556,15,0,0,0.012,0.007,0.01,Modified-Radix-4
17,32,0.666667,15,0,0,0.012,0.007,0.01,Modified-Radix-4
17,32,0.777778,15,0,0,0.013,0.007,0.01,Modified-Radix-4
17,32,0.888889,15,0,0,0.012,0.007,0.01,Modified-Radix-4
17,32,1,15,0,0,0.013,0.006,0.01,Modified-Radix-4
18,32,0,14,0,0,0.012,0.007,0.01,Modified-Radix-4
18,32,0.111111,14,0,0,0.012,0.007,0.01,Modified-Radix-4
18,32,0.222222,14,0,0,0.012,0.007,0.01,Modified-Radix-4
18,32,0.333333,14,0,0,0.013,0.007,0.01,Modified-Radix-4
18,32,0.444444,14,0,0,0.012,0.006,0.01,Modified-Radix-4
18,32,0.555556,14,0,0,0.012,0.007,0.01,Modified-Radix-4
18,32,0.666667,14,0,0,0.013,0.007,0.01,Modified-Radix-4
18,32,0.777778,14,0,0,0.012,0.007,0.01,Modified-Radix-4
18,32,0.888889,14,0,0,0.013,0.007,0.01,Modified-Radix-4
18,32,1,14,0,0,0.012,0.007,0.01,Modified-Radix-4
19,32,0,13,0,0,0.013,0.007,0.01,Modified-Radix-4
19,32,0.111111,13,0,0,0.013,0.007,0.01,Modified-Radix-4
19,32,0.222222,13,0,0,0.012,0.007,0.01,Modified-Radix-4
19,32,0.333333,13,0,0,0.012,0.006,0.01,Modified-Radix-4
19,32,0.444444,13,0,0,0.013,0.007,0.01,Modified-Radix-4
19,32,0.555556,13,0,0,0.012,0.007,0.01,Modified-Radix-4
19,32,0.666667,13,0,0,0.012,0.006,0.01,Modified-Radix-4
19,32,0.777778,13,0,0,0.012,0.007,0.01,Modified-Radix-4
19,32,0.888889,13,0,0,0.012,0.007,0.01,Modified-Radix-4
19,32,1,13,0,0,0.012,0.007,0.01,Modified-Radix-4
20,32,0,12,0,0,0.013,0.007,0.01,Modified-Radix-4
20,32,0.111111,12,0,0,0.013,0.007,0.01,Modified-Radix-4
20,32,0.222222,12,0,0,0.012,0.006,0.01,Modified-Radix-4
20,32,0.333333,12,0,0,0.013,0.007,0.01,Modified-Radix-4
20,32,0.444444,12,0,0,0.012,0.007,0.01,Modified-Radix-4
20,32,0.555556,12,0,0,0.013,0.007,0.01,Modified-Radix-4
20,32,0.666667,12,0,0,0.012,0.007,0.01,Modified-Radix-4
20,32,0.777778,12,0,0,0.012,0.007,0.01,Modified-Radix-4
20,32,0.888889,12,0,0,0.013,0.007,0.01,Modified-Radix-4
20,32,1,12,0,0,0.012,0.007,0.01,Modified-Radix-4
21,32,0,11,0,0,0.013,0.007,0.01,Modified-Radix-4
21,32,0.111111,11,0,0,0.013,0.007,0.01,Modified-Radix-4
21,32,0.222222,11,0,0,0.013,0.006,0.01,Modified-Radix-4
21,32,0.333333,11,0,0,0.012,0.007,0.01,Modified-Radix-4
21,32,0.444444,11,0,0,0.013,0.007,0.01,Modified-Radix-4
21,32,0.555556,11,0,0,0.013,0.007,0.01,Modified-Radix-4
21,32,0.666667,11,0,0,0.012,0.007,0.01,Modified-Radix-4
21,32,0.777778,11,0,0,0.012,0.007,0.01,Modified-Radix-4
21,32,0.888889,11,0,0,0.013,0.007,0.01,Modified-Radix-4
21,32,1,11,0,0,0.013,0.007,0.01,Modified-Radix-4
22,32,0,10,0,0,0.013,0.007,0.01,Modified-Radix-4
22,32,0.111111,10,0,0,0.013,0.007,0.01,Modified-Radix-4
22,32,0.222222,10,0,0,0.012,0.006,0.01,Modified-Radix-4
22,32,0.333333,10,0,0,0.012,0.007,0.01,Modified-Radix-4
22,32,0.444444,10,0,0,0.013,0.007,0.01,Modified-Radix-4
22,32,0.555556,10,0,0,0.012,0.007,0.01,Modified-Radix-4
22,32,0.666667,10,0,0,0.012,0.006,0.01,Modified-Radix-4
22,32,0.777778,10,0,0,0.014,0.007,0.01,Modified-Radix-4
22,32,0.888889,10,0,0,0.012,0.007,0.01,Modified-Radix-4
22,32,1,10,0,0,0.012,0.007,0.01,Modified-Radix-4
23,32,0,9,0,0,0.012,0.007,0.01,Modified-Radix-4
23,32,0.111111,9,0,0,0.012,0.007,0.01,Modified-Radix-4
23,32,0.222222,9,0,0,0.013,0.007,0.01,Modified-Radix-4
23,32,0.333333,9,0,0,0.012,0.007,0.01,Modified-Radix-4
23,32,0.444444,9,0,0,0.013,0.007,0.01,Modified-Radix-4
23,32,0.555556,9,0,0,0.013,0.007,0.01,Modified-Radix-4
23,32,0.666667,9,0,0,0.013,0.007,0.01,Modified-Radix-4
23,32,0.777778,9,0,0,0.013,0.007,0.01,Modified-Radix-4
23,32,0.888889,9,0,0,0.013,0.007,0.01,Modified-Radix-4
23,32,1,9,0,0,0.012,0.006,0.01,Modified-Radix-4
24,32,0,8,0,0,0.013,0.007,0.01,Modified-Radix-4
24,32,0.111111,8,0,0,0.012,0.007,0.01,Modified-Radix-4
24,32,0.222222,8,0,0,0.012,0.007,0.01,Modified-Radix-4
24,32,0.333333,8,0,0,0.012,0.007,0.01,Modified-Radix-4
24,32,0.444444,8,0,0,0.012,0.007,0.01,Modified-Radix-4
24,32,0.555556,8,0,0,0.016,0.007,0.01,Modified-Radix-4
24,32,0.666667,8,0,0,0.013,0.007,0.01,Modified-Radix-4
24,32,0.777778,8,0,0,0.012,0.007,0.01,Modified-Radix-4
24,32,0.888889,8,0,0,0.012,0.007,0.01,Modified-Radix-4
24,32,1,8,0,0,0.012,0.007,0.01,Modified-Radix-4
25,32,0,7,0,0,0.012,0.007,0.01,Modified-Radix-4
25,32,0.111111,7,0,0,0.013,0.007,0.01,Modified-Radix-4
25,32,0.222222,7,0,0,0.012,0.007,0.01,Modified-Radix-4
25,32,0.333333,7,0,0,0.013,0.007,0.01,Modified-Radix-4
25,32,0.444444,7,0,0,0.013,0.007,0.01,Modified-Radix-4
25,32,0.555556,7,0,0,0.012,0.007,0.01,Modified-Radix-4
25,32,0.666667,7,0,0,0.013,0.007,0.01,Modified-Radix-4
25,32,0.777778,7,0,0,0.012,0.007,0.01,Modified-Radix-4
25,32,0.888889,7,0,0,0.012,0.007,0.01,Modified-Radix-4
25,32,1,7,0,0,0.013,0.007,0.01,Modified-Radix-4
26,32,0,6,0,0,0.013,0.007,0.01,Modified-Radix-4
26,32,0.111111,6,0,0,0.012,0.006,0.01,Modified-Radix-4
26,32,0.222222,6,0,0,0.012,0.007,0.01,Modified-Radix-4
26,32,0.333333,6,0,0,0.017,0.007,0.01,Modified-Radix-4
26,32,0.444444,6,0,0,0.012,0.007,0.01,Modified-Radix-4
26,32,0.555556,6,0,0,0.013,0.007,0.01,Modified-Radix-4
26,32,0.666667,6,0,0,0.013,0.007,0.01,Modified-Radix-4
26,32,0.777778,6,0,0,0.013,0.007,0.01,Modified-Radix-4
26,32,0.888889,6,0,0,0.013,0.006,0.011,Modified-Radix-4
26,32,1,6,0,0,0.012,0.006,0.01,Modified-Radix-4
27,32,0,5,0,0,0.012,0.006,0.01,Modified-Radix-4
27,32,0.111111,5,0,0,0.012,0.007,0.01,Modified-Radix-4
27,32,0.222222,5,0,0,0.012,0.006,0.01,Modified-Radix-4
27,32,0.333333,5,0,0,0.012,0.006,0.009,Modified-Radix-4
27,32,0.444444,5,0,0,0.012,0.006,0.009,Modified-Radix-4
27,32,0.555556,5,0,0,0.012,0.006,0.01,Modified-Radix-4
27,32,0.666667,5,0,0,0.012,0.007,0.01,Modified-Radix-4
27,32,0.777778,5,0,0,0.012,0.006,0.01,Modified-Radix-4
27,32,0.888889,5,0,0,0.012,0.006,0.01,Modified-Radix-4
27,32,1,5,0,0,0.012,0.006,0.009,Modified-Radix-4
28,32,0,4,0,0,0.012,0.007,0.01,Modified-Radix-4
28,32,0.111111,4,0,0,0.015,0.008,0.01,Modified-Radix-4
28,32,0.222222,4,0,0,0.013,0.006,0.01,Modified-Radix-4
28,32,0.333333,4,0,0,0.013,0.006,0.01,Modified-Radix-4
28,32,0.444444,4,0,0,0.012,0.006,0.01,Modified-Radix-4
28,32,0.555556,4,0,0,0.013,0.006,0.01,Modified-Radix-4
28,32,0.666667,4,0,0,0.013,0.007,0.01,Modified-Radix-4
28,32,0.777778,4,0,0,0.012,0.007,0.01,Modified-Radix-4
28,32,0.888889,4,0,0,0.012,0.006,0.01,Modified-Radix-4
28,32,1,4,0,0,0.012,0.006,0.01,Modified-Radix-4
29,32,0,3,0,0,0.012,0.006,0.01,Modified-Radix-4
29,32,0.111111,3,0,0,0.013,0.006,0.01,Modified-Radix-4
29,32,0.222222,3,0,0,0.012,0.006,0.009,Modified-Radix-4
29,32,0.333333,3,0,0,0.012,0.006,0.009,Modified-Radix-4
29,32,0.444444,3,0,0,0.012,0.006,0.01,Modified-Radix-4
29,32,0.555556,3,0,0,0.012,0.006,0.01,Modified-Radix-4
29,32,0.666667,3,0,0,0.012,0.006,0.009,Modified-Radix-4
29,32,0.777778,3,0,0,0.012,0.006,0.01,Modified-Radix-4
29,32,0.888889,3,0,0,0.012,0.007,0.01,Modified-Radix-4
29,32,1,3,0,0,0.012,0.007,0.015,Modified-Radix-4
30,32,0,2,0,0,0.012,0.006,0.01,Modified-Radix-4
30,32,0.111111,2,0,0,0.013,0.006,0.01,Modified-Radix-4
30,32,0.222222,2,0,0,0.012,0.006,0.01,Modified-Radix-4
30,32,0.333333,2,0,0,0.013,0.007,0.01,Modified-Radix-4
30,32,0.444444,2,0,0,0.012,0.006,0.01,Modified-Radix-4
30,32,0.555556,2,0,0,0.013,0.007,0.01,Modified-Radix-4
30,32,0.666667,2,0,0,0.013,0.006,0.009,Modified-Radix-4
30,32,0.777778,2,0,0,0.012,0.006,0.01,Modified-Radix-4
30,32,0.888889,2,0,0,0.012,0.007,0.01,Modified-Radix-4
30,32,1,2,0,0,0.012,0.006,0.01,Modified-Radix-4
31,32,0,1,0,0,0.012,0.006,0.009,Modified-Radix-4
31,32,0.111111,1,0,0,0.012,0.006,0.009,Modified-Radix-4
31,32,0.222222,1,0,0,0.012,0.007,0.01,Modified-Radix-4
31,32,0.333333,1,0,0,0.012,0.006,0.01,Modified-Radix-4
31,32,0.444444,1,0,0,0.012,0.006,0.01,Modified-Radix-4
31,32,0.555556,1,0,0,0.012,0.006,0.01,Modified-Radix-4
31,32,0.666667,1,0,0,0.012,0.006,0.01,Modified-Radix-4
31,32,0.777778,1,0,0,0.012,0.006,0.014,Modified-Radix-4
31,32,0.888889,1,0,0,0.012,0.006,0.01,Modified-Radix-4
31,32,1,1,0,0,0.012,0.007,0.009,Modified-Radix-4
32,32,0,0,1,0,0.012,0.006,0.009,Modified-Radix-4
32,32,0.111111,0,1,0,0.012,0.006,0.01,Modified-Radix-4
32,32,0.222222,0,1,0,0.012,0.007,0.01,Modified-Radix-4
32,32,0.333333,0,1,0,0.012,0.006,0.01,Modified-Radix-4
32,32,0.444444,0,1,0,0.012,0.006,0.01,Modified-Radix-4
32,32,0.555556,0,1,0,0.012,0.006,0.009,Modified-Radix-4
32,32,0.666667,0,1,0,0.012,0.006,0.01,Modified-Radix-4
32,32,0.777778,0,1,0,0.012,0.007,0.01,Modified-Radix-4
32,32,0.888889,0,1,0,0.012,0.006,0.009,Modified-Radix-4
32,32,1,0,1,0,0.012,0.006,0.009,Modified-Radix-4
33,64,0,31,0,0,0.027,0.022,0.023,Modified-Radix-4
33,64,0.111111,31,0,0,0.027,0.021,0.023,Modified-Radix-4
33,64,0.222222,31,0,0,0.028,0.021,0.022,Modified-Radix-4
33,64,0.333333,31,0,0,0.027,0.028,0.023,Radix-Split
33,64,0.444444,31,0,0,0.028,0.02,0.023,Modified-Radix-4
33,64,0.555556,31,0,0,0.028,0.02,0.022,Modified-Radix-4
33,64,0.666667,31,0,0,0.027,0.02,0.022,Modified-Radix-4
33,64,0.777778,31,0,0,0.027,0.021,0.023,Modified-Radix-4
33,64,0.888889,31,0,0,0.027,0.021,0.023,Modified-Radix-4
33,64,1,31,0,0,0.027,0.021,0.023,Modified-Radix-4
34,64,0,30,0,0,0.027,0.021,0.023,Modified-Radix-4
34,64,0.111111,30,0,0,0.028,0.021,0.025,Modified-Radix-4
34,64,0.222222,30,0,0,0.027,0.021,0.023,Modified-Radix-4
34,64,0.333333,30,0,0,0.028,0.027,0.024,Radix-Split
34,64,0.444444,30,0,0,0.029,0.02,0.022,Modified-Radix-4
34,64,0.555556,30,0,0,0.027,0.02,0.023,Modified-Radix-4
34,64,0.666667,30,0,0,0.027,0.021,0.022,Modified-Radix-4
34,64,0.777778,30,0,0,0.027,0.02,0.024,Modified-Radix-4
34,64,0.888889,30,0,0,0.027,0.021,0.023,Modified-Radix-4
34,64,1,30,0,0,0.027,0.021,0.023,Modified-Radix-4
35,64,0,29,0,0,0.027,0.021,0.023,Modified-Radix-4
35,64,0.111111,29,0,0,0.027,0.021,0.022,Modified-Radix-4
35,64,0.222222,29,0,0,0.027,0.021,0.023,Modified-Radix-4
35,64,0.333333,29,0,0,0.027,0.02,0.028,Modified-Radix-4
35,64,0.444444,29,0,0,0.027,0.021,0.023,Modified-Radix-4
35,64,0.555556,29,0,0,0.029,0.021,0.023,Modified-Radix-4
35,64,0.666667,29,0,0,0.027,0.02,0.022,Modified-Radix-4
35,64,0.777778,29,0,0,0.028,0.021,0.023,Modified-Radix-4
35,64,0.888889,29,0,0,0.027,0.021,0.023,Modified-Radix-4
35,64,1,29,0,0,0.027,0.02,0.022,Modified-Radix-4
36,64,0,28,0,0,0.027,0.02,0.022,Modified-Radix-4
36,64,0.111111,28,0,0,0.027,0.021,0.023,Modified-Radix-4
36,64,0.222222,28,0,0,0.027,0.02,0.023,Modified-Radix-4
36,64,0.333333,28,0,0,0.027,0.021,0.025,Modified-Radix-4
36,64,0.444444,28,0,0,0.028,0.021,0.023,Modified-Radix-4
36,64,0.555556,28,0,0,0.027,0.021,0.023,Modified-Radix-4
36,64,0.666667,28,0,0,0.028,0.021,0.023,Modified-Radix-4
36,64,0.777778,28,0,0,0.027,0.021,0.023,Modified-Radix-4
36,64,0.888889,28,0,0,0.028,0.021,0.023,Modified-Radix-4
36,64,1,28,0,0,0.027,0.021,0.023,Modified-Radix-4
37,64,0,27,0,0,0.027,0.021,0.023,Modified-Radix-4
37,64,0.111111,27,0,0,0.027,0.021,0.022,Modified-Radix-4
37,64,0.222222,27,0,0,0.027,0.021,0.023,Modified-Radix-4
37,64,0.333333,27,0,0,0.029,0.02,0.023,Modified-Radix-4
37,64,0.444444,27,0,0,0.027,0.021,0.023,Modified-Radix-4
37,64,0.555556,27,0,0,0.029,0.021,0.022,Modified-Radix-4
37,64,0.666667,27,0,0,0.027,0.021,0.022,Modified-Radix-4
37,64,0.777778,27,0,0,0.027,0.021,0.023,Modified-Radix-4
37,64,0.888889,27,0,0,0.027,0.021,0.023,Modified-Radix-4
37,64,1,27,0,0,0.027,0.02,0.023,Modified-Radix-4
38,64,0,26,0,0,0.027,0.02,0.023,Modified-Radix-4
38,64,0.111111,26,0,0,0.028,0.02,0.023,Modified-Radix-4
38,64,0.222222,26,0,0,0.027,0.021,0.023,Modified-Radix-4
38,64,0.333333,26,0,0,0.028,0.021,0.023,Modified-Radix-4
38,64,0.444444,26,0,0,0.027,0.021,0.023,Modified-Radix-4
38,64,0.555556,26,0,0,0.027,0.021,0.023,Modified-Radix-4
38,64,0.666667,26,0,0,0.027,0.021,0.022,Modified-Radix-4
38,64,0.777778,26,0,0,0.027,0.021,0.023,Modified-Radix-4
38,64,0.888889,26,0,0,0.027,0.02,0.023,Modified-Radix-4
38,64,1,26,0,0,0.027,0.021,0.023,Modified-Radix-4
39,64,0,25,0,0,0.027,0.021,0.023,Modified-Radix-4
39,64,0.111111,25,0,0,0.027,0.021,0.023,Modified-Radix-4
39,64,0.222222,25,0,0,0.027,0.021,0.023,Modified-Radix-4
39,64,0.333333,25,0,0,0.027,0.021,0.022,Modified-Radix-4
39,64,0.444444,25,0,0,0.035,0.021,0.023,Modified-Radix-4
39,64,0.555556,25,0,0,0.027,0.021,0.023,Modified-Radix-4
39,64,0.666667,25,0,0,0.027,0.02,0.023,Modified-Radix-4
