Polynomial_Size,Sparsity,Dist_To_Next_Pow2,Is_Power_2,Is_Power_4,Best_Algorithm,Actual_Best_Algorithm
172,0.444444,84,0,0,Radix-Split,Modified-Radix-4
14,0,2,0,0,Radix-Split,Radix-Split
783,0.777778,241,0,0,Radix-Split,Modified-Radix-4
50,0.888889,14,0,0,Radix-Split,Radix-Split
33,0,31,0,0,Radix-Split,Radix-Split
3503,0.333333,593,0,0,Radix-Split,Modified-Radix-4
2969,0.555556,1127,0,0,Radix-Split,Modified-Radix-4
62,0.0223582137,2,0,0,Radix-Split,Radix-Split
14,0.888889,2,0,0,Radix-Split,Radix-Split
3948,0.2014218966,148,0,0,Radix-Split,Modified-Radix-4
174,0.333333,82,0,0,Radix-Split,Radix-Split
1476,1,572,0,0,Radix-Split,Modified-Radix-4
513,0.222222,511,0,0,Radix-Split,Modified-Radix-4
787,1,237,0,0,Radix-Split,Modified-Radix-4
3948,0.333333,148,0,0,Radix-Split,Modified-Radix-4
182,0.2697538574,74,0,0,Radix-Split,Radix-Split
2,0.1215890864,0,1,0,Radix-Split,Radix-2
64,0.333333,0,1,1,Radix-Split,Radix-Split
43,0.222222,21,0,0,Radix-Split,Radix-Split
3894,0.3030081683,202,0,0,Radix-Split,Modified-Radix-4
3266,0.444444,830,0,0,Radix-Split,Modified-Radix-4
192,0.666667,64,0,0,Radix-Split,Radix-Split
2690,1,1406,0,0,Radix-Split,Modified-Radix-4
48,0.444444,16,0,0,Radix-Split,Radix-Split
1472,0,576,0,0,Radix-Split,Modified-Radix-4
418,0.333333,94,0,0,Radix-Split,Modified-Radix-4
342,1,170,0,0,Radix-Split,Modified-Radix-4
48,0.2995436731,16,0,0,Radix-Split,Radix-Split
51,0.444444,13,0,0,Radix-Split,Radix-Split
421,0.9675951856,91,0,0,Radix-Split,Modified-Radix-4
33,0.333333,31,0,0,Radix-Split,Radix-Split
2744,0.555556,1352,0,0,Radix-Split,Modified-Radix-4
37,0.06832355429,27,0,0,Radix-Split,Radix-Split
375,0.2346565393,137,0,0,Radix-Split,Modified-Radix-4
2744,0,1352,0,0,Radix-Split,Modified-Radix-4
3947,0,149,0,0,Radix-Split,Modified-Radix-4
174,0.333333,82,0,0,Radix-Split,Radix-Split
792,0.777778,232,0,0,Radix-Split,Modified-Radix-4
2691,0.111111,1405,0,0,Radix-Split,Modified-Radix-4
2463,0,1633,0,0,Radix-Split,Modified-Radix-4
1156,1,892,0,0,Radix-Split,Modified-Radix-4
2975,0.135213883,1121,0,0,Radix-Split,Modified-Radix-4
2463,0.333333,1633,0,0,Radix-Split,Modified-Radix-4
4191,0.205693226,4001,0,0,Radix-Split,Modified-Radix-4
2690,0.3488224266,1406,0,0,Radix-Split,Modified-Radix-4
2691,0.444444,1405,0,0,Radix-Split,Modified-Radix-4
62,0.222222,2,0,0,Radix-Split,Radix-Split
3947,0,149,0,0,Radix-Split,Modified-Radix-4
783,0.333333,241,0,0,Radix-Split,Modified-Radix-4
43,0.888889,21,0,0,Radix-Split,Radix-Split
787,0,237,0,0,Radix-Split,Modified-Radix-4
1493,0.777778,555,0,0,Radix-Split,Modified-Radix-4
51,0,13,0,0,Radix-Split,Radix-Split
2777,0.111111,1319,0,0,Radix-Split,Modified-Radix-4
430,0.1403080688,82,0,0,Radix-Split,Modified-Radix-4
4496,0.111111,3696,0,0,Radix-Split,Modified-Radix-4
2,0.0199374126,0,1,0,Radix-Split,Radix-2
174,1,82,0,0,Radix-Split,Radix-Split
1459,0,589,0,0,Radix-Split,Modified-Radix-4
761,0.666667,263,0,0,Radix-Split,Modified-Radix-4
169,1,87,0,0,Radix-Split,Radix-Split
62,0.666667,2,0,0,Radix-Split,Radix-Split
3661,0.773754929,435,0,0,Radix-Split,Modified-Radix-4
691,0.111111,333,0,0,Radix-Split,Modified-Radix-4
188,0.222222,68,0,0,Radix-Split,Modified-Radix-4
1457,0.1734248719,591,0,0,Radix-Split,Modified-Radix-4
174,0.333333,82,0,0,Radix-Split,Radix-Split
64,0.222222,0,1,1,Radix-Split,Radix-Split
2744,0.6241806284,1352,0,0,Radix-Split,Modified-Radix-4
692,0.444444,332,0,0,Radix-Split,Modified-Radix-4
797,0.7289560991,227,0,0,Radix-Split,Modified-Radix-4
200,0.333333,56,0,0,Radix-Split,Modified-Radix-4
48,0.3976719005,16,0,0,Radix-Split,Radix-Split
62,0.444444,2,0,0,Radix-Split,Radix-Split
285,0.444444,227,0,0,Radix-Split,Modified-Radix-4
131,0.777778,125,0,0,Radix-Split,Radix-Split
539,0.333333,485,0,0,Radix-Split,Radix-Split
1493,0.8564815849,555,0,0,Radix-Split,Modified-Radix-4
269,0.01543928814,243,0,0,Radix-Split,Modified-Radix-4
692,0.444444,332,0,0,Radix-Split,Modified-Radix-4
34,0.555556,30,0,0,Radix-Split,Radix-Split
81,1,47,0,0,Radix-Split,Modified-Radix-4
2690,1,1406,0,0,Radix-Split,Modified-Radix-4
794,0,230,0,0,Radix-Split,Modified-Radix-4
2590,0,1506,0,0,Radix-Split,Modified-Radix-4
3870,0.3689499092,226,0,0,Radix-Split,Modified-Radix-4
1918,0,130,0,0,Radix-Split,Modified-Radix-4
2,1,0,1,0,Radix-Split,Radix-2
3553,0.777778,543,0,0,Radix-Split,Modified-Radix-4
2744,0.555556,1352,0,0,Radix-Split,Modified-Radix-4
166,0.888889,90,0,0,Radix-Split,Radix-Split
3936,0,160,0,0,Radix-Split,Modified-Radix-4
2005,0.777778,43,0,0,Radix-Split,Modified-Radix-4
217,0.444444,39,0,0,Radix-Split,Radix-Split
9,0,7,0,0,Radix-Split,Radix-Split
4,0.444444,0,1,1,Radix-Split,Radix-Split
783,0.2339804871,241,0,0,Radix-Split,Modified-Radix-4
2463,1,1633,0,0,Radix-Split,Modified-Radix-4
14,0,2,0,0,Radix-Split,Radix-Split
4191,0.333333,4001,0,0,Radix-Split,Modified-Radix-4
723,0.06583240511,301,0,0,Radix-Split,Modified-Radix-4
42,0.396444827,22,0,0,Radix-Split,Radix-Split
51,0.444444,13,0,0,Radix-Split,Radix-Split
62,0.222222,2,0,0,Radix-Split,Radix-Split
14,0.111111,2,0,0,Radix-Split,Radix-Split
4496,0.111111,3696,0,0,Radix-Split,Modified-Radix-4
1796,1,252,0,0,Radix-Split,Modified-Radix-4
444,0.5994401677,68,0,0,Radix-Split,Modified-Radix-4
147,0.777778,109,0,0,Radix-Split,Radix-Split
697,0.222222,327,0,0,Radix-Split,Radix-Split
787,0.0393906341,237,0,0,Radix-Split,Modified-Radix-4
217,0.222222,39,0,0,Radix-Split,Radix-Split
169,1,87,0,0,Radix-Split,Modified-Radix-4
780,0,244,0,0,Radix-Split,Modified-Radix-4
797,0.666667,227,0,0,Radix-Split,Radix-Split
192,0.222222,64,0,0,Radix-Split,Radix-Split
162,0.222222,94,0,0,Radix-Split,Modified-Radix-4
162,0.222222,94,0,0,Radix-Split,Radix-Split
2353,0.222222,1743,0,0,Radix-Split,Modified-Radix-4
2,1,0,1,0,Radix-Split,Radix-2
2463,1,1633,0,0,Radix-Split,Modified-Radix-4
2433,1,1663,0,0,Radix-Split,Modified-Radix-4
3474,0,622,0,0,Radix-Split,Radix-Split
2690,0.444444,1406,0,0,Radix-Split,Modified-Radix-4
280,0,232,0,0,Radix-Split,Modified-Radix-4
166,0.222222,90,0,0,Radix-Split,Modified-Radix-4
792,0.777778,232,0,0,Radix-Split,Modified-Radix-4
172,0.444444,84,0,0,Radix-Split,Radix-Split
3135,0.777778,961,0,0,Radix-Split,Modified-Radix-4
783,0.333333,241,0,0,Radix-Split,Modified-Radix-4
174,0.666667,82,0,0,Radix-Split,Modified-Radix-4
20,0.444444,12,0,0,Radix-Split,Modified-Radix-4
64,0.222222,0,1,1,Radix-Split,Radix-Split
51,0.444444,13,0,0,Radix-Split,Modified-Radix-4
33,0.333333,31,0,0,Radix-Split,Radix-Split
794,0.888889,230,0,0,Radix-Split,Modified-Radix-4
26,0.422660461,6,0,0,Radix-Split,Modified-Radix-4
42,0.222222,22,0,0,Radix-Split,Radix-Split
62,0.888889,2,0,0,Radix-Split,Radix-Split
787,0,237,0,0,Radix-Split,Modified-Radix-4
50,0.444444,14,0,0,Radix-Split,Radix-Split
200,0.222222,56,0,0,Radix-Split,Radix-Split
3269,0.666667,827,0,0,Radix-Split,Modified-Radix-4
783,0.8191310647,241,0,0,Radix-Split,Radix-Split
3948,0.444444,148,0,0,Radix-Split,Modified-Radix-4
783,0.333333,241,0,0,Radix-Split,Radix-Split
2744,0.5890568293,1352,0,0,Radix-Split,Modified-Radix-4
4191,0.2114858205,4001,0,0,Radix-Split,Modified-Radix-4
169,0,87,0,0,Radix-Split,Radix-Split
197,0.3685256412,59,0,0,Radix-Split,Modified-Radix-4
1601,0.222222,447,0,0,Radix-Split,Modified-Radix-4
171,0.222222,85,0,0,Radix-Split,Radix-Split
51,0.444444,13,0,0,Radix-Split,Radix-Split
1457,0.1797775932,591,0,0,Radix-Split,Modified-Radix-4
610,0.444444,414,0,0,Radix-Split,Radix-Split
1478,0,570,0,0,Radix-Split,Modified-Radix-4
794,0.777778,230,0,0,Radix-Split,Radix-Split
2744,0.555556,1352,0,0,Radix-Split,Modified-Radix-4
43,0.444444,21,0,0,Radix-Split,Radix-Split
291,0.333333,221,0,0,Radix-Split,Modified-Radix-4
692,0.444444,332,0,0,Radix-Split,Modified-Radix-4
797,0.666667,227,0,0,Radix-Split,Radix-Split
1478,0,570,0,0,Radix-Split,Modified-Radix-4
124,0.444444,4,0,0,Radix-Split,Modified-Radix-4
792,0.777778,232,0,0,Radix-Split,Modified-Radix-4
788,0.3196270212,236,0,0,Radix-Split,Modified-Radix-4
162,0.111111,94,0,0,Radix-Split,Radix-Split
3120,1,976,0,0,Radix-Split,Modified-Radix-4
794,0.666667,230,0,0,Radix-Split,Modified-Radix-4
3661,0.222222,435,0,0,Radix-Split,Modified-Radix-4
2195,0.888889,1901,0,0,Radix-Split,Modified-Radix-4
2,0.4043863635,0,1,0,Radix-Split,Radix-2
1478,0,570,0,0,Radix-Split,Modified-Radix-4
166,0.666667,90,0,0,Radix-Split,Radix-Split
166,0.222222,90,0,0,Radix-Split,Radix-Split
783,0.444444,241,0,0,Radix-Split,Modified-Radix-4
1171,1,877,0,0,Radix-Split,Modified-Radix-4
444,1,68,0,0,Radix-Split,Modified-Radix-4
516,0.888889,508,0,0,Radix-Split,Radix-Split
14,0.888889,2,0,0,Radix-Split,Radix-Split
797,0.666667,227,0,0,Radix-Split,Modified-Radix-4
3269,1,827,0,0,Radix-Split,Modified-Radix-4
4191,0.2445617773,4001,0,0,Radix-Split,Modified-Radix-4
42,0.3745309208,22,0,0,Radix-Split,Radix-Split
12,0.888889,4,0,0,Radix-Split,Radix-Split
772,0.111111,252,0,0,Radix-Split,Radix-Split
1476,0.222222,572,0,0,Radix-Split,Modified-Radix-4
772,0.222222,252,0,0,Radix-Split,Modified-Radix-4
1990,0.4185826006,58,0,0,Radix-Split,Modified-Radix-4
192,0.8437670826,64,0,0,Radix-Split,Radix-Split
3268,0.888889,828,0,0,Radix-Split,Modified-Radix-4
192,0.483837236,64,0,0,Radix-Split,Radix-Split
34,0.333333,30,0,0,Radix-Split,Radix-Split
1500,0.08129807853,548,0,0,Radix-Split,Modified-Radix-4
14,0.4713119048,2,0,0,Radix-Split,Radix-Split
797,0.111111,227,0,0,Radix-Split,Modified-Radix-4
692,0.4324256637,332,0,0,Radix-Split,Modified-Radix-4
2381,0.333333,1715,0,0,Radix-Split,Modified-Radix-4
3269,0.666667,827,0,0,Radix-Split,Modified-Radix-4
3948,0.284629976,148,0,0,Radix-Split,Modified-Radix-4
166,0.222222,90,0,0,Radix-Split,Modified-Radix-4
3103,0.444444,993,0,0,Radix-Split,Modified-Radix-4
792,0.777778,232,0,0,Radix-Split,Radix-Split
1476,0.777778,572,0,0,Radix-Split,Modified-Radix-4
783,0.777778,241,0,0,Radix-Split,Modified-Radix-4
3947,0,149,0,0,Radix-Split,Modified-Radix-4
4036,0.7360266773,60,0,0,Radix-Split,Modified-Radix-4
62,0.6921415728,2,0,0,Radix-Split,Radix-Split
3266,0.6983516873,830,0,0,Radix-Split,Modified-Radix-4
48,0.2811712074,16,0,0,Radix-Split,Radix-Split
14,0.888889,2,0,0,Radix-Split,Radix-Split
50,0.444444,14,0,0,Radix-Split,Modified-Radix-4
390,1,122,0,0,Radix-Split,Modified-Radix-4
1677,0.555556,371,0,0,Radix-Split,Modified-Radix-4
3149,0.333333,947,0,0,Radix-Split,Modified-Radix-4
3031,1,1065,0,0,Radix-Split,Modified-Radix-4
1472,0.9172132516,576,0,0,Radix-Split,Modified-Radix-4
444,0.4045275583,68,0,0,Radix-Split,Modified-Radix-4
3661,0.4059301662,435,0,0,Radix-Split,Modified-Radix-4
3661,0.2275761301,435,0,0,Radix-Split,Modified-Radix-4
3266,0.666667,830,0,0,Radix-Split,Modified-Radix-4
48,0.3909198626,16,0,0,Radix-Split,Radix-Split
45,0.222222,19,0,0,Radix-Split,Radix-Split
2,0.222222,0,1,0,Radix-Split,Radix-2
4018,0.222222,78,0,0,Radix-Split,Modified-Radix-4
3601,0.666667,495,0,0,Radix-Split,Modified-Radix-4
691,1,333,0,0,Radix-Split,Modified-Radix-4
772,0.8301058984,252,0,0,Radix-Split,Modified-Radix-4
54,0,10,0,0,Radix-Split,Modified-Radix-4
792,0.333333,232,0,0,Radix-Split,Modified-Radix-4
1459,0.666667,589,0,0,Radix-Split,Modified-Radix-4
797,1,227,0,0,Radix-Split,Modified-Radix-4
4191,1,4001,0,0,Radix-Split,Modified-Radix-4
2777,0.02555816816,1319,0,0,Radix-Split,Modified-Radix-4
3915,0.111111,181,0,0,Radix-Split,Modified-Radix-4
1479,0.111111,569,0,0,Radix-Split,Modified-Radix-4
54,0,10,0,0,Radix-Split,Radix-Split
562,0,462,0,0,Radix-Split,Modified-Radix-4
162,0.08839468584,94,0,0,Radix-Split,Radix-Split
34,0.777778,30,0,0,Radix-Split,Radix-Split
3947,0,149,0,0,Radix-Split,Modified-Radix-4
131,0.111111,125,0,0,Radix-Split,Radix-Split
1851,0.666667,197,0,0,Radix-Split,Modified-Radix-4
444,0.222222,68,0,0,Radix-Split,Modified-Radix-4
608,1,416,0,0,Radix-Split,Radix-Split
1459,0.555556,589,0,0,Radix-Split,Modified-Radix-4
797,0.09158369039,227,0,0,Radix-Split,Modified-Radix-4
792,0.111111,232,0,0,Radix-Split,Radix-Split
68,0,60,0,0,Radix-Split,Modified-Radix-4
166,0.888889,90,0,0,Radix-Split,Radix-Split
3916,0.222222,180,0,0,Radix-Split,Modified-Radix-4
792,0.777778,232,0,0,Radix-Split,Radix-Split
2433,0.8693338244,1663,0,0,Radix-Split,Modified-Radix-4
43,0.5192549523,21,0,0,Radix-Split,Radix-Split
1652,0.111111,396,0,0,Radix-Split,Modified-Radix-4
192,0.111111,64,0,0,Radix-Split,Radix-Split
792,0.8016461107,232,0,0,Radix-Split,Modified-Radix-4
691,0.111111,333,0,0,Radix-Split,Radix-Split
86,0.333333,42,0,0,Radix-Split,Modified-Radix-4
357,0.222222,155,0,0,Radix-Split,Modified-Radix-4
2463,0,1633,0,0,Radix-Split,Modified-Radix-4
562,0.444444,462,0,0,Radix-Split,Modified-Radix-4
3268,0.666667,828,0,0,Radix-Split,Modified-Radix-4
45,0.444444,19,0,0,Radix-Split,Radix-Split
1459,0.5549682909,589,0,0,Radix-Split,Modified-Radix-4
1478,0.359743483,570,0,0,Radix-Split,Modified-Radix-4
788,0.888889,236,0,0,Radix-Split,Radix-Split
691,0.444444,333,0,0,Radix-Split,Radix-Split
787,0.01574357041,237,0,0,Radix-Split,Modified-Radix-4
746,0.111111,278,0,0,Radix-Split,Modified-Radix-4
1493,0.777778,555,0,0,Radix-Split,Modified-Radix-4
2,1,0,1,0,Radix-Split,Radix-2
3268,0.3428826282,828,0,0,Radix-Split,Modified-Radix-4
609,0.14917058,415,0,0,Radix-Split,Radix-Split
174,0.79363686,82,0,0,Radix-Split,Modified-Radix-4
2,0.666667,0,1,0,Radix-Split,Radix-2
3936,0.08691778711,160,0,0,Radix-Split,Modified-Radix-4
3572,1,524,0,0,Radix-Split,Modified-Radix-4
608,1,416,0,0,Radix-Split,Radix-Split
1677,0.2035592385,371,0,0,Radix-Split,Modified-Radix-4
292,0.222222,220,0,0,Radix-Split,Modified-Radix-4
192,0.111111,64,0,0,Radix-Split,Radix-Split
1457,0.222222,591,0,0,Radix-Split,Modified-Radix-4
2434,0.804703239,1662,0,0,Radix-Split,Modified-Radix-4
568,0,456,0,0,Radix-Split,Modified-Radix-4
64,0.222222,0,1,1,Radix-Split,Radix-Split
2,0.666667,0,1,0,Radix-Split,Radix-2
608,0.8523741226,416,0,0,Radix-Split,Radix-Split
1459,0.777778,589,0,0,Radix-Split,Modified-Radix-4
14,0.777778,2,0,0,Radix-Split,Radix-Split
33,0.333333,31,0,0,Radix-Split,Radix-Split
64,0.222222,0,1,1,Radix-Split,Radix-Split
1678,0,370,0,0,Radix-Split,Modified-Radix-4
62,0.888889,2,0,0,Radix-Split,Radix-Split
169,0,87,0,0,Radix-Split,Radix-Split
167,1,89,0,0,Radix-Split,Modified-Radix-4
3269,0.4900943718,827,0,0,Radix-Split,Modified-Radix-4
3936,0,160,0,0,Radix-Split,Modified-Radix-4
568,0.7711979781,456,0,0,Radix-Split,Radix-Split
171,0.777778,85,0,0,Radix-Split,Modified-Radix-4
217,0.222222,39,0,0,Radix-Split,Modified-Radix-4
200,0.222222,56,0,0,Radix-Split,Radix-Split
692,0.444444,332,0,0,Radix-Split,Modified-Radix-4
797,0,227,0,0,Radix-Split,Modified-Radix-4
14,0.666667,2,0,0,Radix-Split,Radix-Split
54,0.333333,10,0,0,Radix-Split,Radix-Split
691,0.111111,333,0,0,Radix-Split,Radix-Split
2777,0.5027635611,1319,0,0,Radix-Split,Modified-Radix-4
54,0.222222,10,0,0,Radix-Split,Radix-Split
3268,1,828,0,0,Radix-Split,Modified-Radix-4
192,0.666667,64,0,0,Radix-Split,Radix-Split
197,0.666667,59,0,0,Radix-Split,Radix-Split
2,0.111111,0,1,0,Radix-Split,Radix-2
966,0.9008584782,58,0,0,Radix-Split,Modified-Radix-4
566,0,458,0,0,Radix-Split,Radix-Split
1229,0.777778,819,0,0,Radix-Split,Modified-Radix-4
64,0.1775528486,0,1,1,Radix-Split,Radix-Split
189,0.444444,67,0,0,Radix-Split,Radix-Split
3136,0.666667,960,0,0,Radix-Split,Radix-Split
4137,0,4055,0,0,Radix-Split,Modified-Radix-4
43,0.777778,21,0,0,Radix-Split,Modified-Radix-4
172,0.777778,84,0,0,Radix-Split,Modified-Radix-4
3948,0.222222,148,0,0,Radix-Split,Modified-Radix-4
361,0.444444,151,0,0,Radix-Split,Modified-Radix-4
171,0.222222,85,0,0,Radix-Split,Radix-Split
34,0.333333,30,0,0,Radix-Split,Radix-Split
608,0.222222,416,0,0,Radix-Split,Radix-Split
562,0.444444,462,0,0,Radix-Split,Modified-Radix-4
217,1,39,0,0,Radix-Split,Modified-Radix-4
430,0.7911668634,82,0,0,Radix-Split,Modified-Radix-4
608,0.222222,416,0,0,Radix-Split,Modified-Radix-4
50,0.444444,14,0,0,Radix-Split,Radix-Split
783,0.777778,241,0,0,Radix-Split,Modified-Radix-4
792,0.777778,232,0,0,Radix-Split,Modified-Radix-4
792,0.777778,232,0,0,Radix-Split,Radix-Split
2,0.111111,0,1,0,Radix-Split,Radix-2
1476,0.777778,572,0,0,Radix-Split,Modified-Radix-4
680,0,344,0,0,Radix-Split,Radix-Split
217,0.777778,39,0,0,Radix-Split,Radix-Split
1641,0.111111,407,0,0,Radix-Split,Modified-Radix-4
64,0.1269428612,0,1,1,Radix-Split,Radix-Split
131,0.777778,125,0,0,Radix-Split,Radix-Split
3022,0.777778,1074,0,0,Radix-Split,Modified-Radix-4
258,0.001937422697,254,0,0,Radix-Split,Modified-Radix-4
192,0.07774089774,64,0,0,Radix-Split,Radix-Split
169,1,87,0,0,Radix-Split,Modified-Radix-4
3553,0.777778,543,0,0,Radix-Split,Modified-Radix-4
196,0.01981587494,60,0,0,Radix-Split,Radix-Split
3029,0.444444,1067,0,0,Radix-Split,Modified-Radix-4
3948,0.222222,148,0,0,Radix-Split,Modified-Radix-4
2948,0.9385661171,1148,0,0,Radix-Split,Modified-Radix-4
101,0.333333,27,0,0,Radix-Split,Modified-Radix-4
783,0.333333,241,0,0,Radix-Split,Modified-Radix-4
43,0.5069915316,21,0,0,Radix-Split,Radix-Split
1677,0.111111,371,0,0,Radix-Split,Modified-Radix-4
1354,0.222222,694,0,0,Radix-Split,Modified-Radix-4
217,0.2595965954,39,0,0,Radix-Split,Modified-Radix-4
2,0.051793977,0,1,0,Radix-Split,Radix-2
172,0.444444,84,0,0,Radix-Split,Radix-Split
62,0.6806988581,2,0,0,Radix-Split,Radix-Split
3947,0.222222,149,0,0,Radix-Split,Modified-Radix-4
3948,0.222222,148,0,0,Radix-Split,Modified-Radix-4
4175,0.555556,4017,0,0,Radix-Split,Modified-Radix-4
792,0.333333,232,0,0,Radix-Split,Modified-Radix-4
795,0.555556,229,0,0,Radix-Split,Modified-Radix-4
783,0.777778,241,0,0,Radix-Split,Modified-Radix-4
1241,0.888889,807,0,0,Radix-Split,Modified-Radix-4
217,0.2476683385,39,0,0,Radix-Split,Radix-Split
4135,0,4057,0,0,Radix-Split,Modified-Radix-4
3936,0,160,0,0,Radix-Split,Modified-Radix-4
3948,0.222222,148,0,0,Radix-Split,Modified-Radix-4
3936,0,160,0,0,Radix-Split,Modified-Radix-4
62,0.777778,2,0,0,Radix-Split,Radix-Split
4191,0.222222,4001,0,0,Radix-Split,Modified-Radix-4
3553,0.666667,543,0,0,Radix-Split,Modified-Radix-4
51,0.444444,13,0,0,Radix-Split,Radix-Split
562,0.3412988597,462,0,0,Radix-Split,Modified-Radix-4
62,0.888889,2,0,0,Radix-Split,Radix-Split
217,0.777778,39,0,0,Radix-Split,Radix-Split
192,0.111111,64,0,0,Radix-Split,Radix-Split
346,0.777778,166,0,0,Radix-Split,Modified-Radix-4
192,0.111111,64,0,0,Radix-Split,Radix-Split
562,0.555556,462,0,0,Radix-Split,Modified-Radix-4
787,0.3872214842,237,0,0,Radix-Split,Modified-Radix-4
