Polynomial_Size,Sparsity,Dist_To_Next_Pow2,Is_Power_2,Is_Power_4,Best_Algorithm
50,0.444444,14,0,0,Radix-Split
200,0.222222,56,0,0,Radix-Split
3269,0.666667,827,0,0,Radix-Split
783,0.819131064712221,241,0,0,Radix-Split
3948,0.444444,148,0,0,Radix-Split
783,0.333333,241,0,0,Radix-Split
2744,0.5890568293495744,1352,0,0,Radix-Split
4191,0.21148582053397313,4001,0,0,Radix-Split
169,0.0,87,0,0,Radix-Split
197,0.3685256412497856,59,0,0,Radix-Split
1601,0.222222,447,0,0,Radix-Split
171,0.222222,85,0,0,Radix-Split
51,0.444444,13,0,0,Radix-Split
1457,0.1797775931707878,591,0,0,Radix-Split
610,0.444444,414,0,0,Radix-Split
1478,0.0,570,0,0,Radix-Split
794,0.777778,230,0,0,Radix-Split
2744,0.555556,1352,0,0,Radix-Split
43,0.444444,21,0,0,Radix-Split
291,0.333333,221,0,0,Radix-Split
692,0.444444,332,0,0,Radix-Split
797,0.666667,227,0,0,Radix-Split
1478,0.0,570,0,0,Radix-Split
124,0.444444,4,0,0,Radix-Split
792,0.777778,232,0,0,Radix-Split
788,0.31962702121911,236,0,0,Radix-Split
162,0.111111,94,0,0,Radix-Split
3120,1.0,976,0,0,Radix-Split
794,0.666667,230,0,0,Radix-Split
3661,0.222222,435,0,0,Radix-Split
2195,0.888889,1901,0,0,Radix-Split
2,0.4043863635056898,0,1,0,Radix-Split
1478,0.0,570,0,0,Radix-Split
166,0.666667,90,0,0,Radix-Split
166,0.222222,90,0,0,Radix-Split
783,0.444444,241,0,0,Radix-Split
1171,1.0,877,0,0,Radix-Split
444,1.0,68,0,0,Radix-Split
516,0.888889,508,0,0,Radix-Split
14,0.888889,2,0,0,Radix-Split
797,0.666667,227,0,0,Radix-Split
3269,1.0,827,0,0,Radix-Split
4191,0.2445617773042613,4001,0,0,Radix-Split
42,0.3745309208176394,22,0,0,Radix-Split
12,0.888889,4,0,0,Radix-Split
772,0.111111,252,0,0,Radix-Split
1476,0.222222,572,0,0,Radix-Split
772,0.222222,252,0,0,Radix-Split
1990,0.41858260062613567,58,0,0,Radix-Split
192,0.8437670825664785,64,0,0,Radix-Split
3268,0.888889,828,0,0,Radix-Split
192,0.48383723600635886,64,0,0,Radix-Split
34,0.333333,30,0,0,Radix-Split
1500,0.0812980785287507,548,0,0,Radix-Split
14,0.47131190478292345,2,0,0,Radix-Split
797,0.111111,227,0,0,Radix-Split
692,0.4324256636833369,332,0,0,Radix-Split
2381,0.333333,1715,0,0,Radix-Split
3269,0.666667,827,0,0,Radix-Split
3948,0.2846299760324543,148,0,0,Radix-Split
166,0.222222,90,0,0,Radix-Split
3103,0.444444,993,0,0,Radix-Split
792,0.777778,232,0,0,Radix-Split
1476,0.777778,572,0,0,Radix-Split
783,0.777778,241,0,0,Radix-Split
3947,0.0,149,0,0,Radix-Split
4036,0.7360266773012045,60,0,0,Radix-Split
62,0.6921415728272011,2,0,0,Radix-Split
3266,0.6983516872694165,830,0,0,Radix-Split
48,0.2811712074480509,16,0,0,Radix-Split
14,0.888889,2,0,0,Radix-Split
50,0.444444,14,0,0,Radix-Split
390,1.0,122,0,0,Radix-Split
1677,0.555556,371,0,0,Radix-Split
3149,0.333333,947,0,0,Radix-Split
3031,1.0,1065,0,0,Radix-Split
1472,0.9172132515963909,576,0,0,Radix-Split
444,0.40452755832014675,68,0,0,Radix-Split
3661,0.40593016621074257,435,0,0,Radix-Split
3661,0.22757613007983546,435,0,0,Radix-Split
3266,0.666667,830,0,0,Radix-Split
48,0.3909198625513385,16,0,0,Radix-Split
45,0.222222,19,0,0,Radix-Split
2,0.222222,0,1,0,Radix-Split
4018,0.222222,78,0,0,Radix-Split
3601,0.666667,495,0,0,Radix-Split
691,1.0,333,0,0,Radix-Split
772,0.8301058984419265,252,0,0,Radix-Split
54,0.0,10,0,0,Radix-Split
792,0.333333,232,0,0,Radix-Split
1459,0.666667,589,0,0,Radix-Split
797,1.0,227,0,0,Radix-Split
4191,1.0,4001,0,0,Radix-Split
2777,0.02555816815558587,1319,0,0,Radix-Split
3915,0.111111,181,0,0,Radix-Split
1479,0.111111,569,0,0,Radix-Split
54,0.0,10,0,0,Radix-Split
562,0.0,462,0,0,Radix-Split
162,0.08839468584001817,94,0,0,Radix-Split
34,0.777778,30,0,0,Radix-Split
3947,0.0,149,0,0,Radix-Split
131,0.111111,125,0,0,Radix-Split
1851,0.666667,197,0,0,Radix-Split
444,0.222222,68,0,0,Radix-Split
608,1.0,416,0,0,Radix-Split
1459,0.555556,589,0,0,Radix-Split
797,0.09158369039405403,227,0,0,Radix-Split
792,0.111111,232,0,0,Radix-Split
68,0.0,60,0,0,Radix-Split
166,0.888889,90,0,0,Radix-Split
3916,0.222222,180,0,0,Radix-Split
792,0.777778,232,0,0,Radix-Split
2433,0.8693338243860733,1663,0,0,Radix-Split
43,0.519254952321266,21,0,0,Radix-Split
1652,0.111111,396,0,0,Radix-Split
192,0.111111,64,0,0,Radix-Split
792,0.8016461106688334,232,0,0,Radix-Split
691,0.111111,333,0,0,Radix-Split
86,0.333333,42,0,0,Radix-Split
357,0.222222,155,0,0,Radix-Split
2463,0.0,1633,0,0,Radix-Split
562,0.444444,462,0,0,Radix-Split
3268,0.666667,828,0,0,Radix-Split
45,0.444444,19,0,0,Radix-Split
1459,0.5549682908724932,589,0,0,Radix-Split
1478,0.35974348295555414,570,0,0,Radix-Split
788,0.888889,236,0,0,Radix-Split
691,0.444444,333,0,0,Radix-Split
787,0.015743570409369162,237,0,0,Radix-Split
746,0.111111,278,0,0,Radix-Split
1493,0.777778,555,0,0,Radix-Split
2,1.0,0,1,0,Radix-Split
3268,0.3428826281734127,828,0,0,Radix-Split
609,0.14917058003511335,415,0,0,Radix-Split
174,0.7936368600057309,82,0,0,Radix-Split
2,0.666667,0,1,0,Radix-Split
3936,0.08691778711024914,160,0,0,Radix-Split
3572,1.0,524,0,0,Radix-Split
608,1.0,416,0,0,Radix-Split
1677,0.20355923853001623,371,0,0,Radix-Split
292,0.222222,220,0,0,Radix-Split
192,0.111111,64,0,0,Radix-Split
1457,0.222222,591,0,0,Radix-Split
2434,0.8047032390478707,1662,0,0,Radix-Split
568,0.0,456,0,0,Radix-Split
64,0.222222,0,1,1,Radix-Split
2,0.666667,0,1,0,Radix-Split
608,0.8523741226076604,416,0,0,Radix-Split
1459,0.777778,589,0,0,Radix-Split
14,0.777778,2,0,0,Radix-Split
33,0.333333,31,0,0,Radix-Split
64,0.222222,0,1,1,Radix-Split
1678,0.0,370,0,0,Radix-Split
62,0.888889,2,0,0,Radix-Split
169,0.0,87,0,0,Radix-Split
167,1.0,89,0,0,Radix-Split
3269,0.4900943718145128,827,0,0,Radix-Split
3936,0.0,160,0,0,Radix-Split
568,0.7711979780570847,456,0,0,Radix-Split
171,0.777778,85,0,0,Radix-Split
217,0.222222,39,0,0,Radix-Split
200,0.222222,56,0,0,Radix-Split
692,0.444444,332,0,0,Radix-Split
797,0.0,227,0,0,Radix-Split
14,0.666667,2,0,0,Radix-Split
54,0.333333,10,0,0,Radix-Split
691,0.111111,333,0,0,Radix-Split
2777,0.5027635610895066,1319,0,0,Radix-Split
54,0.222222,10,0,0,Radix-Split
3268,1.0,828,0,0,Radix-Split
192,0.666667,64,0,0,Radix-Split
197,0.666667,59,0,0,Radix-Split
2,0.111111,0,1,0,Radix-Split
966,0.9008584781591668,58,0,0,Radix-Split
566,0.0,458,0,0,Radix-Split
1229,0.777778,819,0,0,Radix-Split
64,0.1775528486166121,0,1,1,Radix-Split
189,0.444444,67,0,0,Radix-Split
3136,0.666667,960,0,0,Radix-Split
4137,0.0,4055,0,0,Radix-Split
43,0.777778,21,0,0,Radix-Split
172,0.777778,84,0,0,Radix-Split
3948,0.222222,148,0,0,Radix-Split
361,0.444444,151,0,0,Radix-Split
171,0.222222,85,0,0,Radix-Split
34,0.333333,30,0,0,Radix-Split
608,0.222222,416,0,0,Radix-Split
562,0.444444,462,0,0,Radix-Split
217,1.0,39,0,0,Radix-Split
430,0.791166863436855,82,0,0,Radix-Split
608,0.222222,416,0,0,Radix-Split
50,0.444444,14,0,0,Radix-Split
783,0.777778,241,0,0,Radix-Split
792,0.777778,232,0,0,Radix-Split
792,0.777778,232,0,0,Radix-Split
2,0.111111,0,1,0,Radix-Split
1476,0.777778,572,0,0,Radix-Split
680,0.0,344,0,0,Radix-Split
217,0.777778,39,0,0,Radix-Split
1641,0.111111,407,0,0,Radix-Split
64,0.12694286121180828,0,1,1,Radix-Split
131,0.777778,125,0,0,Radix-Split
3022,0.777778,1074,0,0,Radix-Split
258,0.0019374226969726543,254,0,0,Radix-Split
192,0.07774089773664333,64,0,0,Radix-Split
169,1.0,87,0,0,Radix-Split
3553,0.777778,543,0,0,Radix-Split
196,0.019815874943410777,60,0,0,Radix-Split
3029,0.444444,1067,0,0,Radix-Split
3948,0.222222,148,0,0,Radix-Split
2948,0.9385661170903633,1148,0,0,Radix-Split
101,0.333333,27,0,0,Radix-Split
783,0.333333,241,0,0,Radix-Split
43,0.5069915315688721,21,0,0,Radix-Split
1677,0.111111,371,0,0,Radix-Split
1354,0.222222,694,0,0,Radix-Split
217,0.25959659541434654,39,0,0,Radix-Split
2,0.05179397699778038,0,1,0,Radix-Split
172,0.444444,84,0,0,Radix-Split
62,0.6806988581367014,2,0,0,Radix-Split
3947,0.222222,149,0,0,Radix-Split
3948,0.222222,148,0,0,Radix-Split
4175,0.555556,4017,0,0,Radix-Split
792,0.333333,232,0,0,Radix-Split
795,0.555556,229,0,0,Radix-Split
783,0.777778,241,0,0,Radix-Split
1241,0.888889,807,0,0,Radix-Split
217,0.24766833849717573,39,0,0,Radix-Split
4135,0.0,4057,0,0,Radix-Split
3936,0.0,160,0,0,Radix-Split
3948,0.222222,148,0,0,Radix-Split
3936,0.0,160,0,0,Radix-Split
62,0.777778,2,0,0,Radix-Split
4191,0.222222,4001,0,0,Radix-Split
3553,0.666667,543,0,0,Radix-Split
51,0.444444,13,0,0,Radix-Split
562,0.34129885972222407,462,0,0,Radix-Split
62,0.888889,2,0,0,Radix-Split
217,0.777778,39,0,0,Radix-Split
192,0.111111,64,0,0,Radix-Split
346,0.777778,166,0,0,Radix-Split
192,0.111111,64,0,0,Radix-Split
562,0.555556,462,0,0,Radix-Split
787,0.38722148424189196,237,0,0,Radix-Split
1478,0.0,570,0,0,Radix-Split
3563,0.444444,533,0,0,Radix-Split
2463,0.0,1633,0,0,Radix-Split
794,0.222222,230,0,0,Radix-Split
3266,0.18105456287053248,830,0,0,Radix-Split
42,0.36510734289330615,22,0,0,Radix-Split
562,0.45584431154741095,462,0,0,Radix-Split
162,0.111111,94,0,0,Radix-Split
2744,0.6237916917400307,1352,0,0,Radix-Split
344,0.0,168,0,0,Radix-Split
33,0.333333,31,0,0,Radix-Split
3947,0.1951350106390516,149,0,0,Radix-Split
2,0.222222,0,1,0,Radix-Split
772,1.0,252,0,0,Radix-Split
797,0.4742334904090849,227,0,0,Radix-Split
444,0.6137699169221634,68,0,0,Radix-Split
772,0.777778,252,0,0,Radix-Split
3936,0.0,160,0,0,Radix-Split
272,0.333333,240,0,0,Radix-Split
4191,0.222222,4001,0,0,Radix-Split
562,0.38762122685672684,462,0,0,Radix-Split
42,0.4233895284401039,22,0,0,Radix-Split
162,0.445770651559125,94,0,0,Radix-Split
1144,0.0,904,0,0,Radix-Split
50,0.444444,14,0,0,Radix-Split
2690,1.0,1406,0,0,Radix-Split
54,0.0,10,0,0,Radix-Split
788,0.888889,236,0,0,Radix-Split
772,0.333333,252,0,0,Radix-Split
608,1.0,416,0,0,Radix-Split
1493,0.7074411129683817,555,0,0,Radix-Split
787,0.0,237,0,0,Radix-Split
624,0.777778,400,0,0,Radix-Split
3947,0.0,149,0,0,Radix-Split
3661,0.888889,435,0,0,Radix-Split
54,0.0,10,0,0,Radix-Split
34,0.444444,30,0,0,Radix-Split
594,0.0,430,0,0,Radix-Split
3266,0.888889,830,0,0,Radix-Split
169,1.0,87,0,0,Radix-Split
1472,0.222222,576,0,0,Radix-Split
58,0.111111,6,0,0,Radix-Split
1285,0.0,763,0,0,Radix-Split
792,0.777778,232,0,0,Radix-Split
483,0.666667,29,0,0,Radix-Split
797,0.333333,227,0,0,Radix-Split
2005,0.222222,43,0,0,Radix-Split
691,0.111111,333,0,0,Radix-Split
994,1.0,30,0,0,Radix-Split
2744,0.0,1352,0,0,Radix-Split
2,1.0,0,1,0,Radix-Split
1478,0.0,570,0,0,Radix-Split
14,0.666667,2,0,0,Radix-Split
162,0.0,94,0,0,Radix-Split
33,0.41541661947150965,31,0,0,Radix-Split
4191,0.222222,4001,0,0,Radix-Split
692,0.222222,332,0,0,Radix-Split
444,0.5730340935123883,68,0,0,Radix-Split
797,1.0,227,0,0,Radix-Split
444,0.6492029158311001,68,0,0,Radix-Split
2737,0.49456656805507476,1359,0,0,Radix-Split
34,0.333333,30,0,0,Radix-Split
797,0.6515196800415517,227,0,0,Radix-Split
2004,0.666667,44,0,0,Radix-Split
2,0.222222,0,1,0,Radix-Split
2,0.333333,0,1,0,Radix-Split
788,0.9450812637438755,236,0,0,Radix-Split
14,0.4031838851485152,2,0,0,Radix-Split
1580,0.777778,468,0,0,Radix-Split
1478,0.0,570,0,0,Radix-Split
14,0.511655414312584,2,0,0,Radix-Split
54,0.708787994652146,10,0,0,Radix-Split
2691,0.666667,1405,0,0,Radix-Split
42,0.777778,22,0,0,Radix-Split
3947,0.0,149,0,0,Radix-Split
1677,0.444444,371,0,0,Radix-Split
2737,1.0,1359,0,0,Radix-Split
1478,0.0,570,0,0,Radix-Split
444,0.7096370227686167,68,0,0,Radix-Split
1457,0.111111,591,0,0,Radix-Split
430,1.0,82,0,0,Radix-Split
2690,0.444444,1406,0,0,Radix-Split
4496,0.555556,3696,0,0,Radix-Split
2463,1.0,1633,0,0,Radix-Split
1846,1.0,202,0,0,Radix-Split
460,0.216020210712636,52,0,0,Radix-Split
382,0.444444,130,0,0,Radix-Split
562,0.555556,462,0,0,Radix-Split
171,0.222222,85,0,0,Radix-Split
172,0.444444,84,0,0,Radix-Split
169,1.0,87,0,0,Radix-Split
792,0.0,232,0,0,Radix-Split
788,0.888889,236,0,0,Radix-Split
989,0.6983867509398191,35,0,0,Radix-Split
3948,0.21432357053030443,148,0,0,Radix-Split
2777,0.222222,1319,0,0,Radix-Split
2,0.333333,0,1,0,Radix-Split
3269,0.9223380691177694,827,0,0,Radix-Split
36,0.0,28,0,0,Radix-Split
162,0.15680750747257377,94,0,0,Radix-Split
3936,0.111111,160,0,0,Radix-Split
3266,1.0,830,0,0,Radix-Split
217,0.111111,39,0,0,Radix-Split
2744,0.545017946492832,1352,0,0,Radix-Split
3553,0.9372850864998511,543,0,0,Radix-Split
562,0.444444,462,0,0,Radix-Split
3936,0.777778,160,0,0,Radix-Split
51,0.444444,13,0,0,Radix-Split
268,1.0,244,0,0,Radix-Split
2690,0.7336727246241357,1406,0,0,Radix-Split
34,0.813786091541691,30,0,0,Radix-Split
2737,0.888889,1359,0,0,Radix-Split
48,0.444444,16,0,0,Radix-Split
1023,0.555556,1,0,0,Radix-Split
788,0.222222,236,0,0,Radix-Split
430,0.444444,82,0,0,Radix-Split
62,1.0,2,0,0,Radix-Split
423,0.0,89,0,0,Radix-Split
788,0.0,236,0,0,Radix-Split
34,0.333333,30,0,0,Radix-Split
692,0.111111,332,0,0,Radix-Split
2,0.333333,0,1,0,Radix-Split
34,0.07916044185172037,30,0,0,Radix-Split
43,1.0,21,0,0,Radix-Split
609,0.888889,415,0,0,Radix-Split
4496,0.444444,3696,0,0,Radix-Split
1677,0.111111,371,0,0,Radix-Split
2,0.777778,0,1,0,Radix-Split
1009,0.777778,15,0,0,Radix-Split
409,0.1297266699121163,103,0,0,Radix-Split
430,0.444444,82,0,0,Radix-Split
794,0.5382667651622756,230,0,0,Radix-Split
2311,0.9928175684545064,1785,0,0,Radix-Split
2,1.0,0,1,0,Radix-Split
3138,0.111111,958,0,0,Radix-Split
1457,0.222222,591,0,0,Radix-Split
1457,0.222222,591,0,0,Radix-Split
171,0.222222,85,0,0,Radix-Split
2443,0.222222,1653,0,0,Radix-Split
217,0.333333,39,0,0,Radix-Split
217,0.333333,39,0,0,Radix-Split
444,0.666667,68,0,0,Radix-Split
54,0.0,10,0,0,Radix-Split
797,1.0,227,0,0,Radix-Split
3405,0.222222,691,0,0,Radix-Split
1457,0.222222,591,0,0,Radix-Split
1459,0.444444,589,0,0,Radix-Split
2744,0.555556,1352,0,0,Radix-Split
43,0.4133376417541235,21,0,0,Radix-Split
2585,0.222222,1511,0,0,Radix-Split
2005,0.333333,43,0,0,Radix-Split
4534,0.222222,3658,0,0,Radix-Split
2,0.222222,0,1,0,Radix-Split
2646,0.222222,1450,0,0,Radix-Split
783,0.333333,241,0,0,Radix-Split
1459,0.9143915175674627,589,0,0,Radix-Split
2737,0.0,1359,0,0,Radix-Split
45,0.444444,19,0,0,Radix-Split
506,0.6660235809813835,6,0,0,Radix-Split
14,1.0,2,0,0,Radix-Split
192,0.111111,64,0,0,Radix-Split
523,0.111111,501,0,0,Radix-Split
430,0.333333,82,0,0,Radix-Split
1677,0.111111,371,0,0,Radix-Split
449,0.222222,63,0,0,Radix-Split
42,1.0,22,0,0,Radix-Split
691,0.8553541839974426,333,0,0,Radix-Split
1445,0.0,603,0,0,Radix-Split
244,0.333333,12,0,0,Radix-Split
169,1.0,87,0,0,Radix-Split
1361,0.4429940631425232,687,0,0,Radix-Split
794,0.8710726187799006,230,0,0,Radix-Split
430,0.444444,82,0,0,Radix-Split
3948,0.222222,148,0,0,Radix-Split
54,0.0,10,0,0,Radix-Split
1580,0.444444,468,0,0,Radix-Split
2691,0.9630709474711895,1405,0,0,Radix-Split
691,0.111111,333,0,0,Radix-Split
783,0.36929135260245705,241,0,0,Radix-Split
